,pref,pref_id,loss_from_2019,final_date_month,state_of_emergency,second,cases_per_population,deaths_per_population,average_temperature,unemployment_rate_percent,over_age65_population,population_2019,area_ha,population_per_density_per_ha,cases_lag,deaths_lag
79,島根県,32,0.6988,2020/3/31,0,0,0,0,9.8,1.4,231000,674000,670807,1,0,0
80,岡山県,33,0.7435,2020/3/31,0,0,0.211640211640212,0,10.4,2.2,573000,1890000,711433,3,0,0
81,広島県,34,0.7376,2020/3/31,0,0,0.21398002853067,0,11,2.3,823000,2804000,847964,3,0,0
82,山口県,35,0.7069,2020/3/31,0,0,0.441826215022091,0,10.2,1.3,466000,1358000,611253,2,0,0
83,徳島県,36,0.6245,2020/3/31,0,0,0.274725274725275,0,11.3,1.9,245000,728000,414675,2,0.137362637362637,0
84,香川県,37,0.671,2020/3/31,0,0,0.209205020920502,0,8,2,305000,956000,187679,5,0,0
85,愛媛県,38,0.6336,2020/3/31,0,0,0.672143390589993,0,11,2,442000,1339000,567616,2,0,0
86,高知県,39,0.652,2020/3/31,0,0,2.29226361031519,0,12.3,2.2,246000,698000,710364,1,0.143266475644699,0
87,福岡県,40,0.6875,2020/3/31,0,1,0.862068965517241,0,12.4,2.8,1425000,5104000,498651,10,0.0391849529780564,0
88,佐賀県,41,0.7064,2020/3/31,0,0,0.245398773006135,0,11.9,2,246000,815000,244070,3,0,0
89,長崎県,42,0.7216,2020/3/31,0,0,0.150715900527506,0,12.3,2.1,433000,1327000,413100,3,0,0
90,熊本県,43,0.7104,2020/3/31,0,0,0.51487414187643,0,12.2,2.8,543000,1748000,740945,2,0.28604118993135,0
91,大分県,44,0.5588,2020/3/31,0,0,2.55506607929515,0,11.5,2,373000,1135000,634076,2,0,0
92,宮崎県,45,0.7918,2020/3/31,0,0,0.279589934762349,0,13.4,2.1,346000,1073000,773533,1,0,0
93,鹿児島県,46,0.7668,2020/3/31,0,0,0.0624219725343321,0,14,2.2,512000,1602000,918708,2,0,0
94,沖縄県,47,0.7756,2020/3/31,0,0,0.412938747419133,0,20.1,3,322000,1453000,228100,6,0.206469373709566,0
95,北海道,1,0.5241,2020/4/30,1,0,11.2380952380952,0.419047619047619,6.8,3.3,1673000,5250000,7842133,1,2.03809523809524,0.0952380952380952
96,青森県,2,0.47468,2020/4/30,1,0,1.4446227929374,0,7.8,2.8,415000,1246000,964564,1,0.642054574638844,0
97,岩手県,3,0.45886,2020/4/30,1,0,0,0,7.3,2.6,406000,1227000,1527501,1,0,0
98,宮城県,4,0.31407,2020/4/30,1,0,3.51257588898526,0,10.1,2.6,652000,2306000,728229,3,0.2601908065915,0
99,秋田県,5,0.37008,2020/4/30,1,0,1.0351966873706,0,8.6,3,359000,966000,1163752,1,0.62111801242236,0
100,山形県,6,0.27579,2020/4/30,1,0,6.2152133580705,0,9,2.4,360000,1078000,932315,1,0.0927643784786642,0
101,福島県,7,0.47831,2020/4/30,1,0,3.73781148429036,0,10.7,2.5,582000,1846000,1378390,1,0.216684723726977,0
102,茨城県,8,0.31692,2020/4/30,1,0,4.86013986013986,0.244755244755245,11.4,2.5,843000,2860000,609739,5,0.839160839160839,0
103,栃木県,9,0.31506,2020/4/30,1,1,2.06825232678387,0,11.4,2.5,554000,1934000,640809,3,0.672182006204757,0
104,群馬県,10,0.34633,2020/4/30,1,0,6.53964984552008,0.772399588053553,12.1,2.1,580000,1942000,636228,3,0.978372811534501,0.0514933058702369
105,埼玉県,11,0.39459,2020/4/30,1,1,10.3265306122449,0.435374149659864,12.5,3.1,1961000,7350000,379775,19,1.3469387755102,0.0272108843537415
106,千葉県,12,0.35715,2020/4/30,1,1,10.592746445119,0.495286787026682,13.4,2.8,1743000,6259000,515760,12,2.52436491452309,0.015976993129893
107,東京都,13,0.33903,2020/4/30,1,1,26.9233532073845,0.747072767760937,12.8,3.2,3209000,13921000,219407,63,3.51267868687594,0.10775087996552
108,神奈川県,14,0.40384,2020/4/30,1,1,9.57816916721026,0.30441400304414,13.4,3.1,2329000,9198000,241630,38,1.30463144161774,0.0543596434007393
109,山梨県,19,0.26748,2020/4/30,1,0,5.79531442663379,0,12.8,2.2,250000,811000,446527,2,0.739827373612824,0
110,新潟県,15,0.46082,2020/4/30,1,0,1.97930724246514,0,10.1,2.3,720000,2223000,1258424,2,1.34952766531714,0
111,富山県,16,0.30652,2020/4/30,1,0,18.9655172413793,0.862068965517241,10.9,1.9,337000,1044000,424759,2,0.191570881226054,0
112,石川県,17,0.2619,2020/4/30,1,0,20.9138840070299,0.70298769771529,11.2,1.9,337000,1138000,418605,3,0.615114235500879,0
113,長野県,20,0.32763,2020/4/30,1,0,2.83064909712055,0,8.6,2.1,653000,2049000,1356156,2,0.292825768667643,0
114,福井県,18,0.24517,2020/4/30,1,0,13.28125,1.04166666666667,11.2,1.4,235000,768000,419052,2,2.60416666666667,0
115,岐阜県,21,0.33953,2020/4/30,1,1,6.19023653749371,0.301962757926522,13.1,1.6,599000,1987000,1062129,2,1.20785103170609,0
116,静岡県,22,0.35996,2020/4/30,1,0,1.67398463227223,0.0274423710208562,14.6,2.4,1089000,3644000,777735,5,0.246981339187706,0
117,愛知県,23,0.34688,2020/4/30,1,1,4.0916313559322,0.185381355932203,13.4,2.3,1892000,7552000,517306,15,1.97298728813559,0.251588983050847
118,三重県,24,0.39266,2020/4/30,1,0,1.90903986524424,0.0561482313307131,13.1,1.6,530000,1781000,577445,3,0.561482313307131,0
119,滋賀県,25,0.35734,2020/4/30,1,0,6.22347949080622,0.0707213578500707,11.9,2.3,368000,1414000,401738,4,0.495049504950495,0
120,京都府,26,0.20115,2020/4/30,1,1,9.7173828881146,0.387146728610143,12.9,2.6,753000,2583000,461220,6,2.59388308168796,0
121,大阪府,27,0.42095,2020/4/30,1,1,15.6771483709842,0.442729027131343,13.7,3.3,2434000,8809000,190529,46,2.72448632080826,0.0227040526734022
122,兵庫県,28,0.39346,2020/4/30,1,1,9.11086717892426,0.292718624222466,13.6,2.8,1591000,5466000,840094,7,2.70764727405781,0.201244054152945
